,player_id,player,year,round,pick,position,school,last name,first name
0,9101,Alaa Abdelnaby,1990,1,25,PF,Duke,Abdelnaby,Alaa
1,9105,Tariq Abdul-Wahad,1997,1,11,SF,San Jose State,Abdul-Wahad,Tariq
2,9106,Shareef Abdur-Rahim,1996,1,3,F,California,Abdur-Rahim,Shareef
3,9111,Alex Acker,2005,2,60,G,Pepperdine,Acker,Alex
4,9113,Mark Acres,1985,2,40,F/C,Oral Roberts,Acres,Mark
5,9115,Quincy Acy,2012,2,37,PF,Baylor,Acy,Quincy
6,9119,Hassan Adams,2006,2,54,G,Arizona,Adams,Hassan
7,9120,Jordan Adams,2014,1,22,SG,UCLA,Adams,Jordan
8,9122,Steven Adams,2013,1,12,C,Pittsburgh,Adams,Steven
9,9123,Rafael Addison,1986,2,39,SF,Syracuse,Addison,Rafael
10,9124,Bam Adebayo,2017,1,14,PF/C,Kentucky,Adebayo,Bam
11,9127,Arron Afflalo,2007,1,27,SG,UCLA,Afflalo,Arron
12,9128,Maurice Ager,2006,1,28,G,Michigan State,Ager,Maurice
13,9129,Mark Aguirre,1981,1,1,G/F,DePaul,Aguirre,Mark
14,9131,Danny Ainge,1981,2,31,G/F,Brigham Young,Ainge,Danny
15,9136,Solomon Alabi,2010,2,50,C,Florida State,Alabi,Solomon
16,9137,Mark Alarie,1986,1,18,PF,Duke,Alarie,Mark
17,9139,Furkan Aldemir,2012,2,53,PF,Galatasaray,Aldemir,Furkan
18,9140,Cole Aldrich,2010,1,11,C,Kansas,Aldrich,Cole
19,9141,LaMarcus Aldridge,2006,1,2,PF,Texas,Aldridge,LaMarcus
20,9144,Cory Alexander,1995,1,29,PG,Virginia,Alexander,Cory
21,9145,Courtney Alexander,2000,1,13,SG,Fresno State,Alexander,Courtney
22,9147,Joe Alexander,2008,1,8,SF,West Virginia,Alexander,Joe
23,9148,Victor Alexander,1991,1,17,C,Iowa State,Alexander,Victor
24,9149,Steve Alford,1987,2,26,SG,Indiana,Alford,Steve
25,9152,Jarrett Allen,2017,1,22,C,Texas,Allen,Jarrett
26,9153,Jerome Allen,1995,2,49,G,Pennsylvania,Allen,Jerome
27,9154,Kadeem Allen,2017,2,53,SG,Arizona,Allen,Kadeem
28,9155,Lavoy Allen,2011,2,50,PF,Temple,Allen,Lavoy
29,9159,Ray Allen,1996,1,5,G,Connecticut,Allen,Ray
30,9160,Tony Allen,2004,1,25,SG,Oklahoma State,Allen,Tony
31,9165,Morris Almond,2007,1,25,SG,Rice,Almond,Morris
32,9166,Derrick Alston,1994,2,33,F,Duquesne,Alston,Derrick
33,9167,Rafer Alston,1998,2,39,PG,Fresno State,Alston,Rafer
34,9171,Al-Farouq Aminu,2010,1,8,SF,Wake Forest,Aminu,Al-Farouq
35,9175,David Andersen,2002,2,37,C,Virtus Bologna,Andersen,David
36,9182,Derek Anderson,1997,1,13,SG,Kentucky,Anderson,Derek
37,9183,Dwight Anderson,1982,2,41,G,USC,Anderson,Dwight
38,9187,James Anderson,2010,1,20,SG,Oklahoma State,Anderson,James
39,9189,Justin Anderson,2015,1,21,SF,Virginia,Anderson,Justin
40,9190,Kenny Anderson,1991,1,2,PG,Georgia Tech,Anderson,Kenny
41,9192,Kyle Anderson,2014,1,30,SF,UCLA,Anderson,Kyle
42,9194,Nick Anderson,1989,1,11,SF/SG,Illinois,Anderson,Nick
43,9195,Richard Anderson,1982,2,32,PF,UC Santa Barbara,Anderson,Richard
44,9196,Ron Anderson,1984,2,27,G/F,Fresno State,Anderson,Ron
45,9197,Ryan Anderson,2008,1,21,PF,California,Anderson,Ryan
46,9198,Shandon Anderson,1996,2,54,F,Georgia,Anderson,Shandon
